"locID","CNN","xLoc","yLoc","LocationDescription","curbReturnLoc","positionOnReturn","Latitude","Longitude","LastUpdate","InvenID","conditionScore","detectableSurf","vitalFacilities","heavyTraffic","lipTooHigh","probStreetMeetCR","possBasementObstacle","signalPoleInWing","catchBasinFrontOfCR","insideCrosswalk","surfCond","slopeWing","flushToCorner","colorContrast","paintedRed","topClearance","sideClearance","CRTooNarrow","levelLandTop","levelLandBottom","slopeRangeID","crPossible","crExist","Location"
"27005000-NE-Left","27005000","5999388.38157","2119810.00446","BAKER ST: FRANCISCO ST intersection","NE","Left","37.80048647426","-122.44634836221","2020 Nov 10 06:44:16 AM","39005","100","1",,,"0",,,"0","0","1","1","1",,"1",,,,"1","1","1","2",,"1","    (37.800486474255365, -122.44634836221388)"
"27289000-SW-Left","27289000","5993077.57136","2112721.5147","09TH AVE: GEARY BLVD intersection","SW","Left","37.78087970113","-122.4674876523","2020 Nov 10 06:44:16 AM","40733","100","1",,,"0",,,"0","0","1","1","1",,"1",,,,"1","1","1","2",,"1","    (37.78087970113023, -122.46748765230191)"
"23834000-N-Left","23834000","6013158.40357","2111932.24725","04TH ST: BRYANT ST \ I-80 E OFF RAMP intersection","N","Left","37.77956689719","-122.39805994004","2020 Nov 10 06:44:16 AM","21005","100","1",,,"0",,"0","0","0","1","1","1",,"1",,,,"1","1","1","2",,"1","    (37.77956689718548, -122.39805994004352)"
"34002000-NE-Right","34002000","6013183.43469","2093127.73007","KALMANOVITZ ST: ORSI CIR intersection","NE","Right","37.72796801036","-122.39673375723","2020 Nov 10 06:44:16 AM","48798","-1",,,,,,,,,,,,,,,,,,,,,"Y24","0","    (37.727968010355376, -122.39673375723325)"
"22636000-NW-Left","22636000","5995129.85958","2093342.74145","WESTWOOD DR: WILDWOOD WAY intersection","NW","Left","37.7275841939","-122.45903349889","2020 Nov 10 06:44:16 AM","13839","0",,,,,,,,,,,,,,,,,,,,,"Y30","0","    (37.727584193903965, -122.45903349889188)"
"21062000-SE-Left","21062000","6008976.04087","2096881.69697","JARBOE AVE: NEVADA ST intersection","SE","Left","37.73820960547","-122.41150254021","2020 Nov 10 06:44:16 AM","5342","100","1",,,"0",,,"0","0","1","1","1",,"1",,,,"1","1","1","2",,"1","    (37.738209605468455, -122.41150254021325)"
"21246000-E-Right","21246000","6006952.80706","2097358.70291","BOCANA ST: CORTLAND AVE intersection","E","Right","37.73929726582","-122.418584376","2020 Nov 10 06:44:16 AM","6392","60","1","1","1","0",,"0","0","0","1","1","0",,"1",,,,"1","0","0","3",,"1","    (37.73929726581539, -122.4185843759999)"
"24406000-SW-Right-RX","24406000","6006245.93741","2109099.09642","MCCOPPIN ST: STEVENSON ST intersection","SW","Right","37.77164180942","-122.42174766571","2020 Nov 10 06:44:16 AM","50164","100","1",,,"0",,,"0","0","1","1","1",,"1",,,,"1","1","1","2",,"1","    (37.771641809421205, -122.42174766571328)"
"22134000-NW-Right","22134000","6000730.70959","2094692.75713","BADEN ST: MONTEREY BLVD intersection","NW","Right","37.73158421146","-122.43974276763","2020 Nov 10 06:44:16 AM","11361","72","1","0","1","0",,"0","0","0","1","1","0",,"1",,,,"1","0","0","2",,"1","    (37.73158421146023, -122.43974276763493)"
"33245000-E-Right","33245000","6013760.1399","2095133.74574","VISTA VIEW CT: WHITECLIFF WAY intersection","E","Right","37.73357814015","-122.39487771654","2020 Nov 10 06:44:16 AM","47459","-2",,,,,,,,,,,,,,,,,,,,,"N04","0","    (37.733578140148104, -122.3948777165413)"
"20980000-SE-Right-BT","20980000","6006631.05245","2092557.54191","FELTON ST: OXFORD ST intersection","SE","Right","37.72616853596","-122.41938591214","2020 Nov 10 06:44:16 AM","4951","100","1",,,"0",,,"0","0","1","1","1",,"1",,,,"1","1","1","2",,"1","    (37.72616853595771, -122.41938591213855)"
"24524000-SE-Left","24524000","6013926.7393","2114319.68244","ESSEX ST: FOLSOM ST intersection","SE","Left","37.78637892341","-122.39564546626","2020 Nov 10 06:44:16 AM","25011","100","1",,,"0",,,"0","0","1","1","1",,"1",,,,"1","1","1","2",,"1","    (37.78637892341345, -122.39564546626194)"
"27893000-N-Right-BT","27893000","5984675.348","2113196.73062","36TH AVE: CLEMENT ST intersection","N","Right","37.78147728031","-122.49665988481","2020 Nov 10 06:44:16 AM","44935","100","1","0","0","0",,"0","0","0","0","1","1",,"1",,,,"1","1","1","1",,"1","    (37.781477280305765, -122.49665988480528)"
"33421000-W-Right","33421000","6000109.11897","2096038.54249","CONGO ST: CONGO ST intersection","W","Right","37.73540286471","-122.44201969809","2020 Nov 10 06:44:16 AM","47918","0",,,,,,,,,,,,,,,,,,,,,"Y29","0","    (37.73540286471373, -122.44201969808569)"
"20748000-N-Right","20748000","6012920.62288","2097098.83532","OAKDALE AVE: RANKIN ST intersection","N","Right","37.73884663435","-122.3978095455","2020 Nov 10 06:44:16 AM","3698","0",,,,,,,,,,,,,,,,,,,,,"Y44","0","    (37.73884663435243, -122.39780954550206)"
"25783000-SW-Right","25783000","6003218.08487","2103863.79423","LIBERTY ST: RAYBURN ST intersection","SW","Right","37.7570543406","-122.43184638894","2020 Nov 10 06:44:16 AM","31436","0",,,,,,,,,,,,,,,,,,,,,"Y44","0","    (37.757054340597755, -122.43184638893635)"
"20790000-NW-Left","20790000","6010669.97974","2097235.28354","LOOMIS ST: WATERLOO ST intersection","NW","Left","37.73915517513","-122.40557092848","2020 Nov 10 06:44:16 AM","3894","0",,,,,,,,,,,,,,,,,,,,,"Y44","0","    (37.73915517513005, -122.40557092848246)"
"21335000-W-Right","21335000","6006750.99316","2099538.91541","FAIR AVE: PETERS AVE intersection","W","Right","37.74535636932","-122.41929426545","2020 Nov 10 06:44:16 AM","6829","95","0","0","0","0","0","0","0","0","1","1","1","1","1","0","1","0","1","1","1","2",,"1","    (37.74535636932363, -122.4192942654522)"
"24404000-E-Left","24404000","6006491.16362","2109397.76315","COLTON ST: GOUGH ST intersection","E","Left","37.77234390626","-122.42106807509","2020 Nov 10 06:44:16 AM","24436","-2",,,,,,,,,,,,,,,,,,,,,"N04","0","    (37.772343906263366, -122.42106807509121)"
"22554000-NE-Right","22554000","5991124.41942","2088095.89532","BROTHERHOOD WAY: CHUMASERO DR \ THOMAS MORE WAY intersection","NE","Right","37.71292736041","-122.47273720545","2020 Nov 10 06:44:16 AM","13371","0",,,,,,,,,,,,,,,,,,,,,"Y44","0","    (37.71292736040904, -122.47273720545138)"
"20725000-SW-Left","20725000","6013460.91117","2100058.03937","EVANS AVE: NAPOLEON ST \ TOLAND ST intersection","SW","Left","37.7472623347","-122.39600861313","2020 Nov 10 06:44:16 AM","3566","62",,,,"0","0","0","0","0","1","1","1","1","1","1","0","0","1","0",,"3",,"1","    (37.747262334703905, -122.39600861313255)"
"26138000-SE-Right","26138000","6001147.80686","2104632.83173","19TH ST: DOUGLASS ST intersection","SE","Right","37.75902773413","-122.43916730872","2020 Nov 10 06:44:16 AM","33584","0",,,,,,,,,,,,,,,,,,,,,"Y44","0","    (37.75902773413016, -122.43916730871662)"
"27354000-SW-Left","27354000","5990826.70742","2105165.43828","17TH AVE: KIRKHAM ST intersection","SW","Left","37.75992736327","-122.47472431792","2020 Nov 10 06:44:16 AM","41195","100","1",,,"0",,,"0","0","1","1","1",,"1",,,,"1","1","1","2",,"1","    (37.75992736326592, -122.47472431792404)"
"22700000-SW-Right","22700000","5992979.61748","2090458.94834","GARFIELD ST: RAMSELL ST intersection","SW","Right","37.7196785797","-122.46625434169","2020 Nov 10 06:44:16 AM","14223","100","1",,,"0",,,"0","0","1","1","1",,"1",,,,"1","1","1","2",,"1","    (37.71967857970238, -122.46625434169309)"
"26577000-NE-Right","26577000","6003632.95248","2117281.92356","BUCHANAN ST: PACIFIC AVE intersection","NE","Right","37.79376709981","-122.43144853099","2020 Nov 10 06:44:16 AM","36122","100","1",,,"0",,,"0","0","1","1","1",,"1",,,,"1","1","1","2",,"1","    (37.79376709980777, -122.43144853099243)"
"26362000-NW-Left","26362000","6000428.09209","2112069.13313","BAKER ST: TURK BLVD \ TURK ST intersection","NW","Left","37.77924401663","-122.44205330916","2020 Nov 10 06:44:16 AM","34730","100","1",,,"0",,,"0","0","1","1","1",,"1",,,,"1","1","1","2",,"1","    (37.77924401663138, -122.44205330915938)"
"21008000-NW-Right","21008000","6005692.18097","2094287.84914","MAYNARD ST: TRUMBULL ST intersection","NW","Right","37.73077257266","-122.4225000412","2020 Nov 10 06:44:16 AM","5094","-1",,,,,,,,,,,,,,,,,,,,,"Y24","0","    (37.730772572658694, -122.42250004120012)"
"22491000-NE-Right","22491000","5994016.68759","2087797.43561","ORIZABA AVE: SADOWA ST intersection","NE","Right","37.71227350657","-122.46258129939","2020 Nov 10 06:44:16 AM","13125","0",,,,,,,,,,,,,,,,,,,,,"Y44","0","    (37.71227350657071, -122.46258129938873)"
"27937000-SE-Left","27937000","5981600.5989","2104160.8914","47TH AVE: LAWTON ST intersection","SE","Left","37.75664584636","-122.50673653644","2020 Nov 10 06:44:16 AM","45260","100","1","0","0","0","0",,"0","0","1","1","1",,"1",,"1","1","1","1","1","2",,"1","    (37.7566458463592, -122.50673653643753)"
"25895000-NW-Left","25895000","6003763.91809","2109044.31635","FILLMORE ST: WALLER ST intersection","NW","Left","37.77117367015","-122.43026080494","2020 Nov 10 06:44:16 AM","32055","37",,,,"0","0","0","0","0","1","1","1","1","1","0","1","1","0","1",,"4",,"1","    (37.771173670149246, -122.43026080494475)"
"20527000-SW-Left","20527000","6014044.93526","2094113.4886","POMONA ST: THORNTON AVE intersection","SW","Left","37.73085414301","-122.39364555436","2020 Nov 10 06:44:16 AM","2523","0",,,,,,,,,,,,,,,,,,,,,"Y29","0","    (37.73085414300644, -122.3936455543606)"
"30063000-SE-Right","30063000","6003316.47739","2114826.91469","BUSH ST: COTTAGE ROW intersection","SE","Right","37.78714822067","-122.43246063331","2020 Nov 10 06:44:16 AM","46226","-1",,,,,,,,,,,,,,,,,,,,,"Y24","0","    (37.78714822067496, -122.43246063331202)"
"24287000-N-Left","24287000","6010204.64832","2111727.2831","HOWARD ST: RUSS ST intersection","N","Left","37.77886067335","-122.40827158856","2020 Nov 10 06:44:16 AM","23791","100","1",,,"0",,,"0","0","1","1","1",,"1",,,,"1","1","1","2",,"1","    (37.77886067335276, -122.4082715885641)"
"25172000-SW-Left","25172000","6007368.20288","2114534.35097","CEDAR ST: LARKIN ST intersection","SW","Left","37.78656596943","-122.41817885339","2020 Nov 10 06:44:16 AM","28032","100","1",,,"0",,,"0","0","1","1","1",,"1",,,,"1","1","1","2",,"1","    (37.78656596942514, -122.41817885338907)"
"26738000-SW-Left","26738000","6003237.81613","2119794.29813","BUCHANAN ST: MAGNOLIA ST intersection","SW","Left","37.80077299064","-122.43286367774","2020 Nov 10 06:44:16 AM","37232","100","1",,,"0",,,"0","0","1","1","1",,"1",,,,"1","1","1","2",,"1","    (37.80077299064377, -122.43286367773545)"
"22449000-SW-Left-BT","22449000","5996281.52066","2100102.94348","HERNANDEZ AVE: WOODSIDE AVE intersection","SW","Left","37.7463279669","-122.45546673275","2020 Nov 10 06:44:16 AM","12914","100","1",,,"0",,,"0","0","1","1","1",,"1",,,,"1","1","1","2",,"1","    (37.746327966903955, -122.4554667327542)"
"21859000-SE-Right","21859000","6003522.46484","2095216.14125","BOSWORTH ST: ROUSSEAU ST intersection","SE","Right","37.73331311184","-122.43027782089","2020 Nov 10 06:44:16 AM","9800","0",,,,,,"0",,,,,,,,,,,,,,,"Y44","0","    (37.73331311183564, -122.43027782089332)"
"23060000-NW-Right","23060000","5991263.56481","2093156.69261","JUNIPERO SERRA BLVD: WINSTON DR intersection","NW","Right","37.72682088613","-122.47237928009","2020 Nov 10 06:44:16 AM","16165","-2",,,,,,,,,,,,,,,,,,,,,"N12","0","    (37.72682088612974, -122.47237928008737)"
"23453000-SE-Right","23453000","5982490.47114","2096408.12869","45TH AVE: SLOAT BLVD intersection","SE","Right","37.73546647763","-122.5031047592","2020 Nov 10 06:44:16 AM","18732","0",,,,,,,,,,,,,,,,,,,,,"Y44","0","    (37.735466477630055, -122.50310475919616)"
"27077000-SW-Left","27077000","5994260.45613","2105283.53712","06TH AVE: KIRKHAM ST intersection","SW","Left","37.760452241","-122.46284191318","2020 Nov 10 06:44:16 AM","39339","35","0","1","1","1",,"0","0","0","1","1","0",,"0",,,,"1","0","0","4",,"1","    (37.76045224099661, -122.4628419131839)"
"23651000-NE-Left","23651000","6015454.93966","2106286.12075","MARIPOSA ST: TENNESSEE ST intersection","NE","Left","37.76426020146","-122.38985196011","2020 Nov 10 06:44:16 AM","19872","-2",,,,,,,,,,,,,,,,,,,,,"N12","0","    (37.76426020145961, -122.38985196010874)"
"25977000-NE-Left","25977000","6003532.59605","2107745.14408","14TH ST: SANCHEZ ST intersection","NE","Left","37.76759522736","-122.43119111956","2020 Nov 10 06:44:16 AM","32630","79","1","1","1","0",,"0","0","0","1","1","1",,"1",,,,"1","0","0","2",,"1","    (37.767595227361845, -122.43119111956184)"
"21468000-E-Right","21468000","5999767.64426","2087091.48821","BRUNSWICK ST: FLORENTINE AVE intersection","E","Right","37.71076440691","-122.44270006778","2020 Nov 10 06:44:16 AM","7569","0",,,,,,,,,,,,,,,,,,,,,"Y29","0","    (37.71076440691062, -122.4427000677802)"
"20686000-E-Right","20686000","6013625.05585","2096375.44831","DRUMMOND ALY: DUNSHEE ST intersection","E","Right","37.73699890311","-122.39540341962","2020 Nov 10 06:44:16 AM","3436","-1",,,,,,,,,,,,,,,,,,,,,"Y24","0","    (37.73699890311035, -122.39540341961805)"
