,PC1,PC2,PC3,PC4
park_distance_km,0.24021961822607935,0.8667322062419438,-0.43484787349988874,0.044465094117907535
median_hh_income,0.6189412228256622,-0.04396087827181601,0.32717118053513833,0.7126978479663652
pct_non_car_commute,-0.42668842113017924,0.49443000086789024,0.7553318522940482,0.054311678534690405
pct_black_latino,-0.6141199304531856,-0.04880264425542638,-0.3651576898408563,0.6979504813981732
