Component,Explained_Variance,Cumulative_Variance
PC1,0.40497256009572,0.40497256009572
PC2,0.33760321163965784,0.7425757717353778
PC3,0.1628517972629474,0.9054275689983252
PC4,0.09457243100167477,1.0
