Component,Explained_Variance,Cumulative_Variance
PC1,0.46089576440262514,0.46089576440262514
PC2,0.3246785833074301,0.7855743477100552
PC3,0.1461179152041609,0.9316922629142161
PC4,0.06830773708578387,1.0
PC5,0.0,1.0
