,PC1,PC2,PC3,PC4,PC5
park_distance,0.6475430521629151,-0.07721900024002841,0.27314960472357713,0.010701169880927716,0.7071067811865474
park_distance_km,0.6475430521629146,-0.07721900024002862,0.27314960472357713,0.010701169880927563,-0.7071067811865474
median_hh_income,0.10058157540119926,0.7014312329936052,-0.0676664847264363,0.7023523467004652,-3.231155714554583e-16
pct_non_car_commute,-0.388736939404649,-0.09722250801518745,0.8847516280619855,0.23800405987967746,1.50833794318509e-16
pct_black_latino,0.011955326143272563,-0.697579000056745,-0.25182214033944694,0.6706908516533524,1.5188069459180386e-16
