Component,Explained_Variance,Cumulative_Variance
PC1,0.4609214664596571,0.4609214664596571
PC2,0.32676508739866683,0.787686553858324
PC3,0.14535892484837284,0.9330454787066969
PC4,0.0669545212933032,1.0
PC5,0.0,1.0
